App Name,Category,Privacy Policy Link,
FitBit,General,https://support.google.com/product-documentation/answer/14815921?hl=en,https://policies.google.com/privacy
Apple Health,General,https://www.apple.com/legal/privacy/data/en/health-app/,https://www.apple.com/legal/privacy/en-ww/
Google Fit,General,https://policies.google.com/privacy,
Oura,General,https://ouraring.com/privacy-policy?srsltid=AfmBOorEmkBumj0Mxfp-z0pzOO6chIJ3uRzBSo6ZuQKSbcND7P5SUWaU,
Strava,Fitness,https://www.strava.com/legal/privacy,
Nike Trianing Club,Fitness,https://agreementservice.svs.nike.com/il/en_gb/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=IL&language=en&requestType=redirect,
MyFitnessPal,Nutrition,https://www.myfitnesspal.com/privacy-policy,
Noom,Nutrition,https://www.noom.com/noom-privacy-policy/?srsltid=AfmBOorAyuwbnW35xJ5uC6G3G7GoTPXIoRTW00Gayl-vsPwInG5ETn9C,
Sleep Cycle,Sleep,https://sleepcycle.com/privacy-policy,
Pillow,Sleep,https://pillow.app/pillow-privacy-policy-en,
SleepScore,Sleep,https://www.sleep.ai/privacy-policy/,
Teladoc Health,Telemedicine,https://www.teladochealth.com/legal/privacy-policy,
Amwell,Telemedicine,https://business.amwell.com/company/privacy-policy,
Doctor on Demand,Telemedicine,https://includedhealth.com/legal/npp/,https://includedhealth.com/legal/privacy/
Zocdoc,Telemedicine,https://www.zocdoc.com/about/privacypolicy,
Talkspace,Telemedicine,https://www.talkspace.com/public/privacy-policy,
BetterHelp,Telemedicine,https://www.betterhelp.com/privacy/,
K Health,Telemedicine,https://www.khealth.com/privacy-policy/,
Lemonaid Health,Telemedicine,https://www.lemonaidhealth.com/legals/privacy-policy,
Flo,Sexual,https://flo.health/privacy-policy,
Clue,Sexual,https://helloclue.com/privacy,
Glow,Sexual,https://glowing.com/privacy-policy ,
Ovia Health,Sexual,https://www.oviahealth.com/privacy-policy/,
Natural Cycles,Sexual,https://www.naturalcycles.com/other/legal/privacy,
Maya,Sexual,https://plackal.in/terms-and-privacy-policy/,
Clover,Sexual,https://wachanga.com/en/privacy,
My Cycle,Sexual,https://neiman.tilda.ws/my-cycle-privacy-policy,
